date,open_hour,opened,held_product,held_strategy,gross_final_net,switches,switch_cost,net_after_switch_cost,snapshot_count
2026-03-24,0,True,EURAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,1272.5,0,0.0,1272.5,2
2026-03-26,0,True,GBPAUD_C,breakout_2_tp20.0_sl5.0,535.0,0,0.0,535.0,2
2026-03-27,0,True,GBPAUD_C,breakout_2_tp20.0_sl20.0,360.0,0,0.0,360.0,1
2026-03-29,0,True,GBPNZD_C,breakout_2_tp3.0_sl20.0,10.0,0,0.0,10.0,1
2026-03-30,0,True,EURAUD_C,breakout_R_2_tp20.0_sl20.0,520.0,0,0.0,520.0,2
2026-03-31,0,True,GBPNZD_C,breakout_R_2_tp50.0_sl10.0,1420.0,1,50.0,1370.0,2
2026-04-01,0,True,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,880.0,0,0.0,880.0,2
2026-04-02,0,True,EURNZD_C,breakout_R_2_tp30.0_sl50.0,1100.0,0,0.0,1100.0,2
2026-04-03,0,True,GBPNZD_C,breakout_R_2_tp30.0_sl10.0,560.0,0,0.0,560.0,2
2026-04-05,0,True,EURNZD_C,breakout_R_2_tp30.0_sl10.0,280.0,0,0.0,280.0,1
2026-04-06,0,True,GBPAUD_C,breakout_2_tp20.0_sl10.0,520.0,1,50.0,470.0,2
2026-04-07,0,True,GBPAUD_C,breakout_R_2_tp30.0_sl10.0,820.0,1,50.0,770.0,2
2026-04-08,0,True,GBPAUD_C,breakout_R_2_tp20.0_sl10.0,1260.0,0,0.0,1260.0,2
2026-04-09,0,True,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1255.0,0,0.0,1255.0,1
2026-03-24,1,True,EURAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,1272.5,0,0.0,1272.5,2
2026-03-26,1,True,GBPAUD_C,breakout_2_tp20.0_sl5.0,535.0,0,0.0,535.0,2
2026-03-27,1,True,GBPAUD_C,breakout_2_tp20.0_sl20.0,360.0,0,0.0,360.0,1
2026-03-29,1,True,GBPNZD_C,breakout_2_tp3.0_sl20.0,10.0,0,0.0,10.0,1
2026-03-30,1,True,EURAUD_C,breakout_R_2_tp20.0_sl20.0,520.0,0,0.0,520.0,2
2026-03-31,1,True,GBPNZD_C,breakout_R_2_tp50.0_sl10.0,1420.0,1,50.0,1370.0,2
2026-04-01,1,True,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,880.0,0,0.0,880.0,2
2026-04-02,1,True,EURNZD_C,breakout_R_2_tp30.0_sl50.0,1100.0,0,0.0,1100.0,2
2026-04-03,1,True,GBPNZD_C,breakout_R_2_tp30.0_sl10.0,560.0,0,0.0,560.0,2
2026-04-05,1,True,EURNZD_C,breakout_R_2_tp30.0_sl10.0,280.0,0,0.0,280.0,1
2026-04-06,1,True,GBPAUD_C,breakout_2_tp20.0_sl10.0,520.0,1,50.0,470.0,2
2026-04-07,1,True,GBPAUD_C,breakout_R_2_tp30.0_sl10.0,820.0,1,50.0,770.0,2
2026-04-08,1,True,GBPAUD_C,breakout_R_2_tp20.0_sl10.0,1260.0,0,0.0,1260.0,2
2026-04-09,1,True,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1255.0,0,0.0,1255.0,1
2026-03-24,2,True,EURAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,1272.5,0,0.0,1272.5,2
2026-03-26,2,True,GBPAUD_C,breakout_2_tp20.0_sl5.0,535.0,0,0.0,535.0,2
2026-03-27,2,True,GBPAUD_C,breakout_2_tp20.0_sl20.0,360.0,0,0.0,360.0,1
2026-03-29,2,True,GBPNZD_C,breakout_2_tp3.0_sl20.0,10.0,0,0.0,10.0,1
2026-03-30,2,True,EURAUD_C,breakout_R_2_tp20.0_sl20.0,520.0,0,0.0,520.0,2
2026-03-31,2,True,GBPNZD_C,breakout_R_2_tp50.0_sl10.0,1420.0,1,50.0,1370.0,2
2026-04-01,2,True,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,880.0,0,0.0,880.0,2
2026-04-02,2,True,EURNZD_C,breakout_R_2_tp30.0_sl50.0,1100.0,0,0.0,1100.0,2
2026-04-03,2,True,GBPNZD_C,breakout_R_2_tp30.0_sl10.0,560.0,0,0.0,560.0,2
2026-04-05,2,True,EURNZD_C,breakout_R_2_tp30.0_sl10.0,280.0,0,0.0,280.0,1
2026-04-06,2,True,GBPAUD_C,breakout_2_tp20.0_sl10.0,520.0,1,50.0,470.0,2
2026-04-07,2,True,GBPAUD_C,breakout_R_2_tp30.0_sl10.0,820.0,1,50.0,770.0,2
2026-04-08,2,True,GBPAUD_C,breakout_R_2_tp20.0_sl10.0,1260.0,0,0.0,1260.0,2
2026-04-09,2,True,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1255.0,0,0.0,1255.0,1
2026-03-24,3,True,EURAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,1272.5,0,0.0,1272.5,2
2026-03-26,3,True,GBPAUD_C,breakout_2_tp20.0_sl5.0,535.0,0,0.0,535.0,2
2026-03-27,3,True,GBPAUD_C,breakout_2_tp20.0_sl20.0,360.0,0,0.0,360.0,1
2026-03-29,3,True,GBPNZD_C,breakout_2_tp3.0_sl20.0,10.0,0,0.0,10.0,1
2026-03-30,3,True,EURAUD_C,breakout_R_2_tp20.0_sl20.0,520.0,0,0.0,520.0,2
2026-03-31,3,True,GBPNZD_C,breakout_R_2_tp50.0_sl10.0,1420.0,1,50.0,1370.0,2
2026-04-01,3,True,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,880.0,0,0.0,880.0,2
2026-04-02,3,True,EURNZD_C,breakout_R_2_tp30.0_sl50.0,1100.0,0,0.0,1100.0,2
2026-04-03,3,True,GBPNZD_C,breakout_R_2_tp30.0_sl10.0,560.0,0,0.0,560.0,2
2026-04-05,3,True,EURNZD_C,breakout_R_2_tp30.0_sl10.0,280.0,0,0.0,280.0,1
2026-04-06,3,True,GBPAUD_C,breakout_2_tp20.0_sl10.0,520.0,1,50.0,470.0,2
2026-04-07,3,True,GBPAUD_C,breakout_R_2_tp30.0_sl10.0,820.0,1,50.0,770.0,2
2026-04-08,3,True,GBPAUD_C,breakout_R_2_tp20.0_sl10.0,1260.0,0,0.0,1260.0,2
2026-04-09,3,True,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1255.0,0,0.0,1255.0,1
