spread_id,state,category,item_name,item_identifier,variant,marketplace,marketplace_url,marketplace_price,marketplace_price_type,source_name,source_url,source_price,currency,gross_spread_amount,gross_spread_pct,estimated_fees,estimated_net_margin,spread_observation_count,first_seen,last_checked,source_availability,marketplace_demand_signal,confidence_score,risk_score,policy_rights_status,risk_notes,public_card_summary,internal_notes,time_sensitive,expiry_type,expiry_at,hours_to_expiry,expiry_value_status,urgency_level,source_kind,data_quality,qualified_spread,display_section
SPRD-001,SAMPLE,Trainers,Nike Air Max 95,sample/research,UK size 8,Marketplace research placeholder,https://www.ebay.co.uk/,120,observed/research,Source check placeholder,https://example.com/source-check-required,89,GBP,31.00,25.8,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,67,medium,check required,"Stock, size, authenticity and final fees must be verified before action.",Demo example only — not live monitored data. Live sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,auction_close,2026-06-28T18:00:00,20,expiring_soon,high,demo,sample_not_live,no,demo_examples
SPRD-002,SAMPLE,Trainers,Adidas Samba OG,sample/research,UK size 9,Marketplace research placeholder,https://www.ebay.co.uk/,95,observed/research,Source check placeholder,https://example.com/source-check-required,72,GBP,23.00,24.2,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,58,medium,check required,Spread needs repeat observation and source-stock confirmation.,Demo example only — not live monitored data. Watching sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,stock_limited,2026-06-29T09:00:00,35,active,medium,demo,sample_not_live,no,demo_examples
SPRD-003,SAMPLE,Electronics,Wireless noise-cancelling headphones,sample/research,new/open box,Marketplace research placeholder,https://www.ebay.co.uk/,140,observed/research,Source check placeholder,https://example.com/source-check-required,105,GBP,35.00,25.0,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,54,medium-high,check required,"Exact model, warranty and returns policy must match.",Demo example only — not live monitored data. Discovered sample spread-information card for EP038 MVP; verify before action.,sample/research record,no,,,,,low,demo,sample_not_live,no,demo_examples
SPRD-004,SAMPLE,Domains,examplelocalleads.com,sample/research,.com domain,Marketplace research placeholder,https://www.ebay.co.uk/,350,observed/research,Source check placeholder,https://example.com/source-check-required,12,GBP,338.00,96.6,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,41,medium-high,check required,No trademark/comps/liquidity verification yet.,Demo example only — not live monitored data. Live sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,domain_closeout,2026-06-28T12:00:00,14,expiring_soon,high,demo,sample_not_live,no,demo_examples
SPRD-005,SAMPLE,Domains,findcircuit.com,sample/research,.com domain,Marketplace research placeholder,https://www.ebay.co.uk/,TBD,observed/research,Source check placeholder,https://example.com/source-check-required,reg fee TBD,GBP,,,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,35,medium,check required,Process-test only; availability and comps not validated.,Demo example only — not live monitored data. Watching sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,domain_closeout,,,unknown,medium,demo,sample_not_live,no,demo_examples
SPRD-006,EXPIRED,Homeware,Countertop kitchen appliance,sample/research,new,Marketplace research placeholder,https://www.ebay.co.uk/,80,observed/research,Source check placeholder,https://example.com/source-check-required,55,GBP,25.00,31.3,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,30,high,check required,Source no longer available; keep as trust-building expired example.,Demo example only — not live monitored data. Expired sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,source_sale_end,2026-06-27T12:00:00,0,expired,low,demo,sample_not_live,no,demo_examples
SPRD-007,AVOID,Digital products,Unauthorised software licence key,sample/research,digital delivery,Marketplace research placeholder,https://www.ebay.co.uk/,45,observed/research,Source check placeholder,https://example.com/source-check-required,20,GBP,25.00,55.6,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,10,very-high,check required,Policy/licence risk kills the spread even if headline margin looks high.,Demo example only — not live monitored data. Avoid sample spread-information card for EP038 MVP; verify before action.,sample/research record,no,,,,,low,demo,sample_not_live,no,demo_examples
SPRD-008,SAMPLE,Digital templates,Resale-rights business template bundle,sample/research,digital download,Marketplace research placeholder,https://www.ebay.co.uk/,29,observed/research,Source check placeholder,https://example.com/source-check-required,9,GBP,20.00,69.0,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,38,high,check required,Only viable if resale rights and platform listing rules are explicit.,Demo example only — not live monitored data. Discovered sample spread-information card for EP038 MVP; verify before action.,sample/research record,no,,,,,medium,demo,sample_not_live,no,demo_examples
SPRD-009,SAMPLE,Fashion,Designer cap/accessory,sample/research,new with tags,Marketplace research placeholder,https://www.ebay.co.uk/,65,observed/research,Source check placeholder,https://example.com/source-check-required,54,GBP,11.00,16.9,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,46,medium,check required,Spread below target after fees; watching but not strong.,Demo example only — not live monitored data. Cooling sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,listing_turnover_risk,2026-06-28T21:00:00,23,expiring_soon,medium,demo,sample_not_live,no,demo_examples
SPRD-010,SAMPLE,Collectibles,Limited trading card/collectible,sample/research,near mint,Marketplace research placeholder,https://www.ebay.co.uk/,70,observed/research,Source check placeholder,https://example.com/source-check-required,48,GBP,22.00,31.4,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,60,high,check required,"Condition, authenticity and platform transfer rules matter.",Demo example only — not live monitored data. Live sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,auction_close,2026-06-28T06:00:00,8,expiring_soon,critical,demo,sample_not_live,no,demo_examples
SPRD-EBAY-001,LIVE,Electronics,Nintendo Switch OLED Model Dockable Console Red/Blue Joy-Con Dock USB-C Box,eBay active auction item 800223554019,"Pre-owned OLED console with Joy-Con, dock, USB-C, box",eBay UK sold listings,https://www.ebay.co.uk/sch/i.html?_nkw=nintendo+switch+oled+console&_sacat=0&_from=R40&LH_Auction=1&rt=nc&LH_Sold=1,123.06,"Comparable eBay sold guide: Nintendo Switch OLED 64GB White Console Complete Set with Box - Excellent, sold 28 Jun 2026, £117.18 + £5.88 delivery = £123.06",eBay UK active auction,https://www.ebay.co.uk/itm/800223554019,97.48,GBP,25.58,26.2,fees/returns/authenticity not deducted; gross spread only,not estimated,1,2026-06-28T22:35:35,2026-06-28T22:19:49.009Z,"active auction observed; 2 bids ·; 8h 7m left (Mon, 07:27)",Comparable eBay sold listing plus active auction bids/time pressure,61,medium-high,physical goods resale generally allowed; condition/accessories must match,"Real-time refreshed. Current auction price can rise before close. Sold guide is comparable but not identical; verify condition, accessories, seller reputation, postage, returns and eBay final price before action.",Qualified live spread: active eBay auction current cost £97.48 versus comparable sold-guide total £123.06. Gross spread £25.58 before fees/risk.,Latest refresh snapshot: /mnt/c/Users/edebe/eds/epics/ep_038_arbitrage/data/ebay_live_snapshot.json. No bid/buy/list/contact action taken.,yes,auction_close,2026-06-29T07:27:00,8.12,active,critical,live,live_browser_refreshed,yes,qualified_live_spreads
